"time","close","high","low","open","volumefrom","volumeto","conversionType","conversionSymbol","ts","timeDate"
1616965200000,55775.47,55866.08,54824.93,54859.39,10620.55,587901847.57,"direct","",1616965200,"2021-03-28"
1616976000000,55356.18,55941.19,54991.96,55775.47,14531.73,805112655.21,"direct","",1616976000,"2021-03-28"
1616986800000,55044.38,55533.27,54928.94,55356.18,15065.77,832206800.18,"direct","",1616986800,"2021-03-28"
1616997600000,57111.8,57225.44,54961.35,55044.38,26158.13,1465544261.3,"direct","",1616997600,"2021-03-29"
1617008400000,57843.95,58328.66,56985.4,57111.8,29034.6,1676953804.53,"direct","",1617008400,"2021-03-29"
1617019200000,58128.97,58389.05,57796.47,57843.95,17864.68,1037428246.96,"direct","",1617019200,"2021-03-29"
1617030000000,57917.5,58291.9,57200.73,58128.97,23062.82,1331758226.22,"direct","",1617030000,"2021-03-29"
1617040800000,57266.37,58013.32,57117.49,57917.5,14133.49,814356510.12,"direct","",1617040800,"2021-03-29"
1617051600000,57628.2,57894.26,57206.19,57266.37,13253.8,762986931.68,"direct","",1617051600,"2021-03-29"
1617062400000,57320.28,57759.15,57186.14,57628.2,14431.52,828787569.04,"direct","",1617062400,"2021-03-29"
1617073200000,57671.19,57830.13,57074.69,57320.28,16457.42,944591744.94,"direct","",1617073200,"2021-03-29"
1617084000000,57939.51,58270.15,57511.72,57671.19,17922.48,1038871085.31,"direct","",1617084000,"2021-03-30"
1617094800000,59232.76,59302.16,57847.47,57939.51,24968.78,1468659418.55,"direct","",1617094800,"2021-03-30"
1617105600000,58867.68,59366.73,58627.74,59232.76,18547.85,1094680500.48,"direct","",1617105600,"2021-03-30"
1617116400000,58699.37,58941.68,58497.89,58867.68,12368.02,726214685.19,"direct","",1617116400,"2021-03-30"
1617127200000,58633.68,59101.8,58382.92,58699.37,12101.13,711631223.4,"direct","",1617127200,"2021-03-30"
1617138000000,58746.61,58898.54,58540.71,58633.68,9571.58,561766800.39,"direct","",1617138000,"2021-03-30"
1617148800000,58655.29,59042.33,58642.82,58746.61,11801.31,694540538.65,"direct","",1617148800,"2021-03-30"
1617159600000,58706,58769.12,58377.82,58655.29,13229.2,775164183.71,"direct","",1617159600,"2021-03-30"
1617170400000,57980.5,59788.52,57145.03,58706,31663.24,1850339552.77,"direct","",1617170400,"2021-03-31"
1617181200000,58013.69,58243.94,57277.04,57980.5,13860.14,801728137.91,"direct","",1617181200,"2021-03-31"
1617192000000,58588.8,58811.36,57658.16,58013.69,14117.78,823793100.91,"direct","",1617192000,"2021-03-31"
1617202800000,59244.91,59609.09,58586.74,58588.8,19994.15,1182393390.89,"direct","",1617202800,"2021-03-31"
1617213600000,58940.08,59565.43,58353.76,59244.91,19023.92,1123690274.66,"direct","",1617213600,"2021-03-31"
1617224400000,58749.55,59280.66,58547.36,58940.08,15945.4,938057146.84,"direct","",1617224400,"2021-03-31"
1617235200000,59085.01,59310.78,58722.16,58749.55,20484.32,1210600758.21,"direct","",1617235200,"2021-03-31"
1617246000000,58769.02,59226.08,58635.88,59085.01,18577.87,1095116219.36,"direct","",1617246000,"2021-03-31"
1617256800000,58843.07,59469.63,58507.33,58769.02,20322.87,1197471842.13,"direct","",1617256800,"2021-04-01"
1617267600000,58580.59,59245.94,58141.94,58843.07,17174.02,1007624432.51,"direct","",1617267600,"2021-04-01"
1617278400000,58998.55,59108.86,58390.98,58580.59,11646.66,685351311.85,"direct","",1617278400,"2021-04-01"
1617289200000,58509.28,59265.37,58354.13,58998.55,12971.47,763259306.55,"direct","",1617289200,"2021-04-01"
1617300000000,58852.25,59015.09,57993.58,58509.28,13398.54,785484962.28,"direct","",1617300000,"2021-04-01"
1617310800000,58725.03,59069.01,58557.95,58852.25,9573.98,563463211.68,"direct","",1617310800,"2021-04-01"
1617321600000,59712.98,60158.87,58466.03,58725.03,25636.8,1520092301.76,"direct","",1617321600,"2021-04-01"
1617332400000,59526.87,60025.77,59386.16,59712.98,14702.47,877633698.88,"direct","",1617332400,"2021-04-01"
1617343200000,59479.35,59735.25,59315.5,59526.87,12851.6,765221255.3,"direct","",1617343200,"2021-04-02"
1617354000000,59544.6,59682.2,59220.89,59479.35,9921.76,590503151.83,"direct","",1617354000,"2021-04-02"
1617364800000,59358,59597.03,58911.32,59544.6,12114.05,717869027.52,"direct","",1617364800,"2021-04-02"
1617375600000,59193.7,59625.16,59094.25,59358,11164.98,662990410.42,"direct","",1617375600,"2021-04-02"
1617386400000,58671.48,59276.8,58569.93,59193.7,10674.51,628613661.69,"direct","",1617386400,"2021-04-02"
